NormalizedDate,2024_French Senate election_FRFIN,2023_Spanish general election_IBEXIB,2023_Dutch general election_NLFIN,2023_Polish parliamentary election_BNKI,2023_Greek legislative election_FTATBNK,2023_Finnish parliamentary election_N3020PI,2023_Italian local elections_FTITLMS30,2023_Spanish regional elections_IBEXIB,2022_United States elections_NYK,2022_French presidential election_FRFIN,2022_French legislative election_FRFIN,2022_Swedish general election_SX3010GI,2022_Italian general election_FTITLMS30,2021_German federal election_CXPVX,2021_Norwegian parliamentary election_OFING,2021_Dutch general election_NLFIN,2020_United States presidential election_NYK,2019_1_Spanish general election_IBEXIB,2019_2_Spanish general election_IBEXIB,2019_Portuguese legislative election_PTFIN,2019_Greek legislative election_FTATBNK,2019_Belgian federal election_BEFIN,2019_Danish general election_OMXC20,2019_Finnish parliamentary election_N3020PI,2018_Swedish general election_SX3010GI,2018_Italian general election_FTITLMS30,2017_German federal election_CXPVX,2017_French presidential election_FRFIN,2017_French legislative election_FRFIN,2017_United Kingdom general election_TRINMX302020,2017_Dutch general election_NLFIN,2016_United States presidential election_NYK,2016_Spanish general election_IBEXIB,2016_United Kingdom Brexit_TRINMX302020,2015_Portuguese legislative election_PTFIN,2015_Spanish general election_IBEXIB,2015_United Kingdom general election_TRINMX302020,2014_Swedish general election_SX3010GI,2014_Belgian federal election_BEFIN,2013_German federal election_CXPVX,2013_Norwegian parliamentary election_OFING,2012_Greek General election_FTATBNK
46,89.91343918484444,98.59480905934865,106.36536909524874,123.25750731358967,111.86740113242331,102.66295944842963,102.13515518028298,97.38613241508844,94.86401846052415,84.725992753698,89.5619666002607,108.19427305102522,115.79765424709908,97.15871585029137,111.12269872544796,124.0231996989352,116.14767532131458,89.41662364481157,116.48841354723707,73.17318576279713,115.31364719520836,103.19405912178323,100.88741547822396,103.64649464306326,102.99828776788907,108.01459184656137,105.33118113867594,111.75279215153715,111.08975156333042,110.70423711675592,105.67299363250918,112.91668008631517,90.2874776676953,105.37912598379351,81.99295420231505,74.10081053698076,108.33990217349441,102.52917532917532,96.17864497181245,113.85440774247843,113.72808902899175,49.81270602337429
47,89.91343918484444,99.40486030748885,106.68131943609731,127.73892910113267,112.28547601281656,105.14641963675456,100.17614673664994,96.76005634684616,94.86401846052415,85.66016701590678,91.6685112767161,109.7484871056562,115.43140950628424,97.66444029612384,111.12269872544796,124.42388152214816,116.14767532131458,88.7626914472552,116.2210338680927,73.42472644950321,111.23043730276292,103.40213335884437,101.24420097231628,102.31644228044954,101.73998532372475,108.7747994555367,105.12983470470128,112.78653211266946,110.44745739712552,110.6264232896345,105.67299363250918,112.91668008631517,90.01136917329869,105.75935315813855,80.07045797684953,75.89918946301924,109.03598526183353,103.62522522522524,96.13644803024677,113.17720387123921,114.9376701533171,50.74418140045949
48,89.91343918484444,99.40486030748885,105.56347339320362,127.73892910113267,112.28547601281656,105.14641963675456,102.88467024189868,96.76005634684616,94.86401846052415,85.66016701590678,91.6685112767161,109.7484871056562,115.43140950628424,97.66444029612384,111.12269872544796,122.63520244393776,116.1778659535927,88.7626914472552,116.2210338680927,73.42472644950321,111.23043730276292,103.40213335884437,101.30585512285346,102.31644228044954,101.73998532372475,108.7747994555367,105.12983470470128,112.78653211266946,110.44745739712552,111.21178549761284,106.76868835767368,112.91668008631517,90.01136917329869,105.8444106352224,80.07045797684953,75.89918946301924,108.59512408046935,103.62522522522524,96.13644803024677,113.17720387123921,114.9376701533171,50.74418140045949
49,89.91343918484444,99.40486030748885,105.44327489396777,127.73892910113267,112.28547601281656,105.14641963675456,104.43290734824282,96.76005634684616,94.94972803692104,85.66016701590678,91.6685112767161,109.7484871056562,115.43140950628424,97.66444029612384,112.69895634505265,124.59212361366303,115.5510509215331,88.7626914472552,116.2210338680927,73.42472644950321,111.23043730276292,103.40213335884437,102.5207451055701,102.31644228044954,101.73998532372475,108.7747994555367,105.12983470470128,112.78653211266946,110.44745739712552,111.88727106468659,107.23371274865887,113.02457406035622,90.01136917329869,106.59347335751733,80.07045797684953,75.89918946301924,108.71605920942831,103.62522522522524,96.13644803024677,113.17720387123921,114.9376701533171,50.74418140045949
50,89.91343918484444,100.41329145313276,105.0672253035012,127.02434201068493,113.79317912478601,105.25624265911067,104.43290734824282,96.85396775708249,94.13988242404264,85.15953219030317,91.38198184903712,108.61969931109113,116.35684743673345,98.61733162037663,113.50324795271227,124.28441768312928,116.87800109261335,88.71106522113233,115.68627450980394,72.93422211042636,112.96612352675983,103.46909977996748,102.47020891660519,103.20839061040745,102.14029013867199,109.88952626805475,105.07471752445122,111.74576787094055,109.94198998111564,110.6363148778279,108.57407716973391,111.96173789816098,90.06009420172161,107.21292468616068,82.33517866129844,71.39057750759878,108.08827494126558,101.99750519750519,97.1508625054856,113.44677046076161,114.16511439079142,52.22754969533513
51,89.91343918484444,100.84311456439082,105.72831704929855,127.54795178582489,117.99916604485799,104.41747347326091,104.43290734824282,98.02786038503677,95.59694522278996,83.94355729430103,91.12496618214911,108.26357157945058,117.13846731042368,98.7986826321804,114.88247336986639,125.08578132955526,117.30354524281894,89.10686628807433,115.30748663101605,72.58206514903786,112.83409544664131,104.00363532000382,102.2114636291048,104.76825083685739,103.10553747154118,110.50765310155792,105.23444486313505,112.11805474256013,110.97327920572637,110.6363148778279,109.82933908788355,111.67187349028956,89.42666883222347,107.21292468616068,82.09360845495723,68.5790273556231,108.08827494126558,102.03409563409565,96.08749957803057,112.74589732800335,115.59798442947891,54.76725601837978
52,89.91343918484444,100.72739295751363,105.72831704929855,127.43937288379254,119.67695211341791,101.72929786259846,103.25265289821999,97.44874002191267,95.25630459864843,83.37169813268372,93.6090410487223,108.64489877597305,116.91425406665654,97.89121778446558,115.19456929991996,125.08578132955526,117.30354524281894,90.25985200481844,115.30748663101605,73.97811596025656,117.83989180137824,103.04697216110208,102.2114636291048,105.16228212850352,103.2457147157883,109.14901017778422,105.21757225693604,111.30089676648952,110.6939717073943,110.6363148778279,109.82933908788355,112.10505974427518,87.54263439987005,107.21292468616068,83.47257171615502,72.02380952380952,108.08827494126558,102.97047817047817,98.08088309759309,112.0515989901115,116.12217605196543,52.83937668564579
53,89.91343918484444,102.56240700942305,105.72831704929855,127.30063966881681,119.06136154150022,100.35601239573448,104.4970903696942,98.09046799186102,95.25630459864843,83.33969879331524,94.75515875943826,108.75421998391681,116.69986690130149,97.98668436406484,117.12756295794595,125.08578132955526,117.30354524281894,88.7626914472552,118.98395721925132,72.17960005030814,123.30939653506793,102.52319908160337,102.2114636291048,105.13814705604582,102.85340658927127,109.75844112164039,106.42283875975096,110.89114706502143,111.23449391064422,111.44764492275769,109.82933908788355,112.10505974427518,87.55887607601103,107.28583109508972,82.94916960241571,67.14792299898683,105.22280564363935,101.95148995148995,96.34068122742462,113.42967599410898,115.45230930887902,51.82549195884527
54,89.91343918484444,101.50438088940321,105.60640142864501,127.98074799058905,119.65061668788132,102.17721653383943,104.19756960292104,97.79308185944592,95.25630459864843,83.13118696904323,95.45979979832265,109.67696509503536,118.1782450623956,98.71137862258405,117.12756295794595,126.30775020476834,117.30354524281894,88.47014283255893,117.49108734402851,70.93447365111307,125.90809557544922,102.05084664689564,102.37014726245465,106.10879670923532,103.36848740286374,108.83473641393009,106.43914894574334,111.45894307991291,112.36416269944476,112.06334133452913,110.0177803443612,112.10505974427518,85.8372584050674,106.93547529662528,82.90890790135884,70.04812563323202,104.75087620196936,101.204158004158,96.72382945684096,113.74789606564275,115.16931747623825,51.75057436819498
55,89.91343918484444,101.50438088940321,104.73753799131138,127.98074799058905,119.65061668788132,102.17721653383943,105.22806366955729,97.79308185944592,95.25630459864843,83.13118696904323,95.45979979832265,109.67696509503536,118.1782450623956,98.71137862258405,117.12756295794595,124.12281672680585,118.02524511918111,88.47014283255893,117.49108734402851,70.93447365111307,125.90809557544922,102.05084664689564,100.6124986102548,106.10879670923532,103.36848740286374,108.83473641393009,106.43914894574334,111.45894307991291,112.36416269944476,112.14796936685045,109.74727596006262,112.10505974427518,85.8372584050674,105.86238409020143,82.90890790135884,70.04812563323202,106.22674694773599,101.204158004158,96.72382945684096,113.74789606564275,115.16931747623825,51.75057436819498
