NormalizedDate,2024_French Senate election_FRFNN,2023_Spanish general election_IBEXIB,2023_Dutch general election_NLFIN,2023_Polish parliamentary election_BNKI,2023_Greek legislative election_FTATBNK,2023_Finnish parliamentary election_N3020PI,2023_Italian local elections_FTITLMS30,2023_Spanish local elections_IBEXIB,2023_Spanish regional elections_IBEXIB,2022_United States elections_NYK,2022_French presidential election_FRFNN,2022_French legislative election_FRFNN,2022_Swedish general election_SX3010GI,2022_Italian general election_FTITLMS30,2021_German federal election_CXPVX,2021_Norwegian parliamentary election_OFING,2021_Dutch general election_NLFIN,2020_United States presidential election_NYK,2020_United States Senate elections_NYK,2020_United States House of Representatives elections_NYK,2019_Spanish general election_IBEXIB_x,2019_Spanish general election_IBEXIB_y,2019_Portuguese legislative election_PTFIN,2019_Greek legislative election_FTATBNK,2019_Belgian federal election_BEFIN,2019_Danish general election_OMXC20,2019_Finnish parliamentary election_N3020PI,2019_Spanish general election_IBEXIB,2018_Swedish general election_SX3010GI,2018_Italian general election_FTITLMS30,2017_German federal election_CXPVX,2017_French presidential election_FRFNN,2017_French legislative election_FRFNN,2017_United Kingdom general election_TRINMX302020,2017_Dutch general election_NLFIN,2016_United States presidential election_NYK,2016_United States Senate elections_NYK,2016_United States House of Representatives elections_NYK,2016_Spanish general election_IBEXIB,2016_United Kingdom Brexit_TRINMX302020,2015_Portuguese legislative election_PTFIN,2015_Spanish general election_IBEXIB,2015_United Kingdom general election_TRINMX302020,2014_Swedish general election_SX3010GI,2014_Belgian federal election_BEFIN,2013_German federal election_CXPVX,2013_Italian general election_FTITLMS30,2013_Norwegian parliamentary election_OFING,2024_French Senate election_FRFNN_volatility,2023_Spanish general election_IBEXIB_volatility,2023_Dutch general election_NLFIN_volatility,2023_Polish parliamentary election_BNKI_volatility,2023_Greek legislative election_FTATBNK_volatility,2023_Finnish parliamentary election_N3020PI_volatility,2023_Italian local elections_FTITLMS30_volatility,2023_Spanish local elections_IBEXIB_volatility,2023_Spanish regional elections_IBEXIB_volatility,2022_United States elections_NYK_volatility,2022_French presidential election_FRFNN_volatility,2022_French legislative election_FRFNN_volatility,2022_Swedish general election_SX3010GI_volatility,2022_Italian general election_FTITLMS30_volatility,2021_German federal election_CXPVX_volatility,2021_Norwegian parliamentary election_OFING_volatility,2021_Dutch general election_NLFIN_volatility,2020_United States presidential election_NYK_volatility,2020_United States Senate elections_NYK_volatility,2020_United States House of Representatives elections_NYK_volatility,2019_Spanish general election_IBEXIB_x_volatility,2019_Spanish general election_IBEXIB_y_volatility,2019_Portuguese legislative election_PTFIN_volatility,2019_Greek legislative election_FTATBNK_volatility,2019_Belgian federal election_BEFIN_volatility,2019_Danish general election_OMXC20_volatility,2019_Finnish parliamentary election_N3020PI_volatility,2019_Spanish general election_IBEXIB_volatility,2018_Swedish general election_SX3010GI_volatility,2018_Italian general election_FTITLMS30_volatility,2017_German federal election_CXPVX_volatility,2017_French presidential election_FRFNN_volatility,2017_French legislative election_FRFNN_volatility,2017_United Kingdom general election_TRINMX302020_volatility,2017_Dutch general election_NLFIN_volatility,2016_United States presidential election_NYK_volatility,2016_United States Senate elections_NYK_volatility,2016_United States House of Representatives elections_NYK_volatility,2016_Spanish general election_IBEXIB_volatility,2016_United Kingdom Brexit_TRINMX302020_volatility,2015_Portuguese legislative election_PTFIN_volatility,2015_Spanish general election_IBEXIB_volatility,2015_United Kingdom general election_TRINMX302020_volatility,2014_Swedish general election_SX3010GI_volatility,2014_Belgian federal election_BEFIN_volatility,2013_German federal election_CXPVX_volatility,2013_Italian general election_FTITLMS30_volatility,2013_Norwegian parliamentary election_OFING_volatility
1969-12-31 23:59:59.999999910,0.222284539166199,0.6111587982832613,0.463934236424685,0.2922754581312846,0.4688336008560729,0.2372932391199616,0.2211495008422,0.7361791462561228,0.7361791462561228,0.7813598745064096,0.906502351224258,0.6913043478260865,0.4249877029021149,0.3727267122865422,0.5975598419707177,0.2060810810810807,0.1064664052635079,0.1640673096655038,0.1640673096655038,0.1640673096655038,0.8239060832443971,0.1288343558282211,0.9521625163827,0.1649258045866258,0.4644465211112054,0.2403909655263495,0.0351345171861902,0.8239060832443971,0.087998507144381,0.5421551680945942,0.2021764032073311,0.175692774895609,0.1749445061043287,0.1504550705852515,0.1688311688311685,0.0629411195977959,0.0629411195977959,0.0629411195977959,0.6414719045251123,0.6373525245318528,0.6936802973977695,0.9557848194546794,0.0741844899215267,0.5954879730350853,0.7037107880642697,0.0,0.1396992640440514,0.2267885757375813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 23:59:59.999999911,0.1091792858478226,0.4154506437768238,0.4597661224962375,0.3411348587180526,0.4907972177635099,0.2916934318291311,0.2211495008422,0.8789363191042682,0.8789363191042682,0.8074863417536641,0.92514999189233,0.7037267080745342,0.439269297962922,0.3935330744097159,0.5902626074831512,0.1846233609847468,0.0995547285173125,0.1690437102400984,0.1690437102400984,0.1690437102400984,0.8185699039487727,0.1738241308793456,0.9285714285714288,0.1919830410483717,0.5002973409226066,0.2168802007660804,0.0621903818306529,0.8185699039487727,0.0915440392407767,0.5346522871887369,0.1303550973654069,0.2080222700240414,0.1050221975582685,0.1504550705852515,0.1630311436136685,0.0742531180508558,0.0742531180508558,0.0742531180508558,0.6414719045251123,0.6373525245318528,0.6354399008674103,0.9557848194546794,0.0741844899215267,0.6147924007966908,0.7582249426166779,0.0918279401394658,0.1338486789855454,0.1570836082571404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 23:59:59.999999912,0.0,0.3905579399141631,0.4597661224962375,0.3389602728020675,0.3877474585339754,0.3641601092018626,0.2211495008422,0.8194541637508742,0.8194541637508742,0.8786174068264179,0.9542078806550998,0.8863354037267079,0.4750411316722358,0.3496085321496827,0.5596095747153146,0.1913633930960664,0.0995547285173125,0.2152164990765441,0.2152164990765441,0.2152164990765441,0.7459978655282812,0.021472392638037,0.9508519003931848,0.1996916554249375,0.5660521620932805,0.2168802007660804,0.0749942839722585,0.7459978655282812,0.015248453828109,0.4975700185380028,0.0953417334860634,0.3317727445273948,0.1268729189789121,0.1504550705852515,0.1630311436136685,0.0630378033452574,0.0630378033452574,0.0630378033452574,0.6439582297364499,0.6373525245318528,0.6862453531598514,0.9557848194546794,0.0741844899215267,0.5873295541596444,0.6964422341239483,0.2072396771918822,0.1091226769735791,0.2033179376001508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 23:59:59.999999913,0.0,0.4618025751072957,0.4597661224962375,0.3282460721211205,0.4462546816479401,0.3391279910069056,0.1899675444722893,0.8208537438768367,0.8208537438768367,0.8786174068264179,0.9972758229284904,0.8513457556935817,0.1979408721610669,0.2266198138215894,0.5796188705554265,0.1332786994915708,0.0995547285173125,0.2152164990765441,0.2152164990765441,0.2152164990765441,0.6403415154749197,0.023517382413088,0.9534731323722148,0.2575448063210639,0.6536403024381955,0.2168802007660804,0.0522444935599422,0.6403415154749197,0.107298997654084,0.5503594869482439,0.0166857579228717,0.3209540680754144,0.1759850166481687,0.1581616839020543,0.1630311436136685,0.0630378033452574,0.0630378033452574,0.0630378033452574,0.5738438587767283,0.6373525245318528,0.8297397769516731,0.9557848194546794,0.0,0.5856059445380731,0.6813312930374894,0.2417143304865629,0.2379679144385023,0.2080309171458195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 23:59:59.999999914,0.0,0.2635193133047204,0.533402801898808,0.311087478141708,0.4430444087747457,0.3391279910069056,0.1819563699108498,0.9342197340797762,0.9342197340797762,0.8786174068264179,0.9815145127290416,0.8651138716356105,0.1815899723527315,0.2333703224215523,0.655542644666512,0.1332786994915708,0.0,0.2152164990765441,0.2152164990765441,0.2152164990765441,0.5058697972251863,0.1799591002044991,0.9593709043250328,0.2417421468491039,0.671395803245264,0.243428873332452,0.202957091685085,0.5058697972251863,0.0272712731925784,0.6523529485445165,0.0417716685757924,0.3013412628115904,0.1752913429522751,0.129110428583505,0.1441180179044263,0.0630378033452574,0.0630378033452574,0.0630378033452574,0.5315763301839883,0.6373525245318528,0.9630731102850064,0.9557848194546794,0.0631635636251733,0.5856059445380731,0.789785768936496,0.2828488599858969,0.2236789855456129,0.204024884532001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 23:59:59.999999915,0.448868947466816,0.2635193133047204,0.6099340048628002,0.311087478141708,0.4430444087747457,0.3391279910069056,0.1274392999465917,0.9342197340797762,0.9342197340797762,0.8832693243901114,0.9815145127290416,0.8651138716356105,0.1815899723527315,0.2333703224215523,0.655542644666512,0.1332786994915708,0.042932145942713,0.2396880771598602,0.2396880771598602,0.2396880771598602,0.5058697972251863,0.1799591002044991,0.9593709043250328,0.2417421468491039,0.671395803245264,0.3008849557522118,0.202957091685085,0.5058697972251863,0.0272712731925784,0.6523529485445165,0.0417716685757924,0.3013412628115904,0.1752913429522751,0.1307447378060809,0.2205270457697641,0.0919462438364114,0.0919462438364114,0.0919462438364114,0.5315763301839883,0.6969217565737096,0.9630731102850064,0.9557848194546794,0.0376981074011384,0.5856059445380731,0.789785768936496,0.2828488599858969,0.2236789855456129,0.204024884532001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 23:59:59.999999916,0.3667975322490185,0.2635193133047204,0.6007873104087078,0.311087478141708,0.4430444087747457,0.3391279910069056,0.1711515549895239,0.9342197340797762,0.9342197340797762,0.901390166062638,0.9815145127290416,0.8651138716356105,0.1815899723527315,0.2333703224215523,0.655542644666512,0.1890052180893761,0.1133780820097029,0.2725220603324438,0.2725220603324438,0.2725220603324438,0.5058697972251863,0.1799591002044991,0.9593709043250328,0.2417421468491039,0.671395803245264,0.3818518029322408,0.202957091685085,0.5058697972251863,0.0272712731925784,0.6523529485445165,0.0417716685757924,0.3013412628115904,0.1752913429522751,0.165868297218857,0.2148531080569909,0.0719327081117669,0.0719327081117669,0.0719327081117669,0.5315763301839883,0.692547900445658,0.9630731102850064,0.9557848194546794,0.1243652869672254,0.5856059445380731,0.789785768936496,0.2828488599858969,0.2236789855456129,0.204024884532001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 23:59:59.999999917,0.7029351280613202,0.2635193133047204,0.5111728609470891,0.3286032121438189,0.4430444087747457,0.498293720892886,0.1711515549895239,1.0,1.0,0.8651484827175848,0.98754661910167,0.8503623188405793,0.2810522923486612,0.2055668577769556,0.6734603764815249,0.2012643831950757,0.1367049910281119,0.2828339831725836,0.2828339831725836,0.2828339831725836,0.4076840981856993,0.1165644171779144,0.971821756225426,0.3100019271535943,0.6555093025231503,0.4770836085061402,0.1951070802530297,0.4076840981856993,0.0,0.6250250513552784,0.0265368461244751,0.2295330887004939,0.1505271920088786,0.1547099101129931,0.2089269953347628,0.0900125688871704,0.0900125688871704,0.0900125688871704,0.5146693187468925,0.6665012253001211,0.957125154894672,0.9557848194546794,0.1603131250961684,0.627470507124253,0.3574980872226477,0.2989892658465875,0.2607878434902313,0.262889999057404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 23:59:59.999999918,1.0,0.1175965665236045,0.5085098992705809,0.323457750335315,0.51864633493847,0.4587883410952309,0.1711515549895239,0.9006298110566827,0.9006298110566827,0.860983393736139,0.979665964001946,0.9100931677018632,0.2579167868107263,0.0838419332963442,0.7145944689751336,0.2751204174471501,0.1367049910281119,0.2502052123948284,0.2502052123948284,0.2502052123948284,0.4813233724653148,0.0337423312883436,1.0,0.2668722297167084,0.5965508452977654,0.5379738475762764,0.1944592637756268,0.4813233724653148,0.0779750479846449,0.6201243799789571,0.0128675066819401,0.183348095659876,0.1748057713651494,0.1547099101129931,0.236035808851343,0.090786038866867,0.090786038866867,0.090786038866867,0.4082545997016408,0.6665012253001211,0.9216852540272616,0.9557848194546794,0.1603131250961684,0.6404167305040604,0.6863045141545512,0.3286061270861078,0.329532217927675,0.3235931756056178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-12-31 23:59:59.999999919,0.9742007851934942,0.0849785407725319,0.5085098992705809,0.3165160064867212,0.5270197966827183,0.589409025212783,0.2324473111211532,0.94961511546536,0.94961511546536,0.7727592362200464,0.948824387870926,0.8412525879917181,0.1676984921213771,0.1090869860057948,0.7335579828026965,0.280656275086968,0.1367049910281119,0.2497434845064642,0.2497434845064642,0.2497434845064642,0.5165421558164349,0.0347648261758694,0.9770642201834862,0.2440547311620737,0.4975787953444905,0.5379738475762764,0.1628305769377335,0.5165421558164349,0.1065792279803796,0.5283393456586002,0.0817105765559377,0.262685056307731,0.1303412874583793,0.1547099101129931,0.236035808851343,0.0763801604950207,0.0763801604950207,0.0763801604950207,0.3953257086026855,0.6665012253001211,0.9422552664188352,0.9557848194546794,0.1603131250961684,0.530450436647771,0.691277735271613,0.2316069889524402,0.3133769259278869,0.2855594306720711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
