NormalizedDate,2024_French Senate election_FRFIN_volatility,2023_Spanish general election_IBEXIB_volatility,2023_Dutch general election_NLFIN_volatility,2023_Polish parliamentary election_BNKI_volatility,2023_Greek legislative election_FTATBNK_volatility,2023_Finnish parliamentary election_N3020PI_volatility,2023_Italian local elections_FTITLMS30_volatility,2023_Spanish regional elections_IBEXIB_volatility,2022_United States elections_NYK_volatility,2022_French presidential election_FRFIN_volatility,2022_French legislative election_FRFIN_volatility,2022_Swedish general election_SX3010GI_volatility,2022_Italian general election_FTITLMS30_volatility,2021_German federal election_CXPVX_volatility,2021_Norwegian parliamentary election_OFING_volatility,2021_Dutch general election_NLFIN_volatility,2020_United States presidential election_NYK_volatility,2019_1_Spanish general election_IBEXIB_volatility,2019_2_Spanish general election_IBEXIB_volatility,2019_Portuguese legislative election_PTFIN_volatility,2019_Greek legislative election_FTATBNK_volatility,2019_Belgian federal election_BEFIN_volatility,2019_Danish general election_OMXC20_volatility,2019_Finnish parliamentary election_N3020PI_volatility,2018_Swedish general election_SX3010GI_volatility,2018_Italian general election_FTITLMS30_volatility,2017_German federal election_CXPVX_volatility,2017_French presidential election_FRFIN_volatility,2017_French legislative election_FRFIN_volatility,2017_United Kingdom general election_TRINMX302020_volatility,2017_Dutch general election_NLFIN_volatility,2016_United States presidential election_NYK_volatility,2016_Spanish general election_IBEXIB_volatility,2016_United Kingdom Brexit_TRINMX302020_volatility,2015_Portuguese legislative election_PTFIN_volatility,2015_Spanish general election_IBEXIB_volatility,2015_United Kingdom general election_TRINMX302020_volatility,2014_Swedish general election_SX3010GI_volatility,2014_Belgian federal election_BEFIN_volatility,2013_German federal election_CXPVX_volatility,2013_Norwegian parliamentary election_OFING_volatility,2012_Greek General election_FTATBNK_volatility
45,0.6085430155903926,0.2584129016015669,0.6510306707344221,0.6892421042541789,0.7587600861473807,0.3168261956614244,0.4699098699798864,0.3764178796883886,0.2889672911976801,0.15450204709057158,0.6910486415895638,0.7165400887993629,0.7628678559041239,0.2613075555526946,0.710987336124219,0.1620844039098884,0.7430126536167734,0.4551470057283229,0.5026469116835744,0.235784993702361,0.623664699737569,0.3988843976761252,0.3893020082304976,0.252205364071292,0.26051324237575013,0.3103462179449583,0.43302071702984574,0.5632938641825292,0.3499844457400542,0.4542686286584381,0.6120266996129173,0.8646446121441889,0.2438154349994115,0.3620498672109255,0.22602376882079991,0.8825485130623862,0.33631686079097495,0.36953274128685626,0.36881392665304397,0.2873508060517272,0.47973125994210086,0.18505401813246314
46,0.6087508177302744,0.41753674196372664,0.6510306706790636,0.7103104552249682,0.7541881153034375,0.3082030569737715,0.49691304965506816,0.49498633185094393,0.2438578027054759,0.1399272932720861,0.665246112013258,0.6459030922458229,0.7739066980556498,0.28509817416458794,0.6947509936107297,0.1617472128265934,0.717877081573818,0.5235375168414309,0.5026469114895344,0.19366818341959505,0.549019955784,0.4305833762137305,0.3905503963533527,0.3643946357291259,0.2737818821965683,0.3482257527221212,0.47306575031027964,0.6742629530180224,0.4040424206584124,0.45426862878137453,0.6120266995939514,0.866542290089322,0.19923521193387617,0.36211643312558633,0.20172552823426718,0.9249483062230703,0.3363168604306236,0.40724667851995505,0.3338053404193038,0.27640752516464767,0.47290289950210035,0.1758082660109289
47,0.6089230647712559,0.48008328773248365,0.6510306706499671,0.6998938901073347,0.7443330098075487,0.3031237464557351,0.5233014533578851,0.5021455557252003,0.24385780222649203,0.19913225812793242,0.6430506075532999,0.6847526901559773,0.8125096822938642,0.3111248111357441,0.673024025040378,0.16149314039925688,0.7178770816321115,0.5304433164194139,0.502646911375914,0.1611450960888639,0.4545817544820203,0.441486076793773,0.3908691670783284,0.3643946357147839,0.22775962460450316,0.3718832963414968,0.43618954593855797,0.6924360946457786,0.4208397076672576,0.38401855512075533,0.6120266996088192,0.8665422900629968,0.18690918647221139,0.4194093776492459,0.21695254801021682,0.8688755828745183,0.28918962006044874,0.4464249701046606,0.47706011270075493,0.27846086896043953,0.6099673263890323,0.2361844664235496
48,0.6090681707846944,0.4369133356077934,0.6671122807837474,0.768887888661576,0.7511366318863533,0.34898218604358183,0.6124103577974702,0.4776605307474209,0.2438578020373011,0.2569399271119998,0.5739308809616184,0.7318358493582846,0.8047140997260646,0.2614137129113296,0.6729791154512675,0.1823522690082276,0.7178770815988222,0.5666007554348482,0.4905978846797959,0.16806182420516733,0.5482082376698668,0.4573009962946056,0.34263228223756764,0.4750906826194253,0.32230762743599606,0.412766253333603,0.42040268130747716,0.7314653479759342,0.3723914212863911,0.377644825264128,0.6120266996283166,0.8665422900578591,0.1926775904977075,0.43725636744416807,0.28596585084615644,0.8382276065754087,0.3519156107281084,0.5227063029849217,0.4817389112337875,0.21722663805699582,0.6478364890658642,0.20658948972488608
49,0.6091920663540003,0.4367419168734244,0.6083538557333056,0.7688878887397569,0.7511366318781129,0.35166673573676965,0.501503229466972,0.47922206467937095,0.24385780192849618,0.25708837236569965,0.5731564701710561,0.7340679719719398,0.8047140998633683,0.261413713002017,0.6728051448705078,0.19250323004403103,0.7186245633958013,0.5666007555014442,0.4905978846444512,0.16730609542674119,0.5482852529798738,0.4573009963111686,0.3323834052024621,0.47509068265000587,0.32230762774862,0.4128968039053844,0.4203107042809939,0.7314653480729815,0.37239142144685017,0.4234548925382004,0.6818672197080334,0.8665422900564321,0.19267758999467186,0.44119697045556094,0.2850180014134936,0.8382273140116306,0.31155458036854156,0.5227063035127516,0.481738911437048,0.21656356465284818,0.6478364892924431,0.20679202346391248
50,0.6092990589496464,0.4367643558526128,0.6017029863865397,0.7688878889034505,0.75113663189555,0.35311244190837476,0.41654498248516536,0.47957859793407914,0.23786157316536852,0.2577522883410099,0.5716111593702611,0.7349545033515105,0.8047140999222328,0.26141371287776566,0.7207687325870448,0.19255684919826244,0.7029446669667408,0.566600755619505,0.4905978845918612,0.16674850815069908,0.5482679960520912,0.45730099635544164,0.33153630226739206,0.4750906828581383,0.32230762779328104,0.41311033763948196,0.4202842053143661,0.7314653482145117,0.372391421393422,0.47117266361321186,0.7094747227341586,0.8702697497952347,0.19267758966511558,0.4742197327301513,0.28548380245521665,0.838227226839772,0.3225760269547422,0.5227063036994257,0.48173891152224907,0.21454416454768688,0.6478364894966059,0.20611246455143584
51,0.6093923567006533,0.37617148333184697,0.5804184100414904,0.75830567709479,0.7751799776904023,0.3593440019442757,0.4041266968522188,0.48390654735330574,0.2970811450302307,0.2286940449709362,0.5806093539286232,0.7028544523289724,0.8242713338708328,0.20523192393462356,0.7441066354307553,0.1745711561532286,0.7357487762271621,0.5693657284144946,0.465674143595855,0.15181264175082904,0.5100118914403244,0.4622935101380997,0.32435752858605793,0.4036353762710871,0.2903945466744677,0.46695693765117596,0.4158788471155365,0.6921635301640344,0.3300302447105325,0.3784603313235648,0.7837027346060569,0.8328264569225455,0.19132734566941184,0.49993842725718673,0.20079590387697663,0.9131215072742435,0.27002211759067163,0.4050021490223449,0.360830633300352,0.23763229799593555,0.6239123298054159,0.16318537423211452
52,0.6094744004639185,0.3469796303010541,0.6173617116836697,0.7660740009337755,0.8386366961818308,0.3213777285289056,0.39890629625474927,0.5320067369791386,0.20653030042070977,0.1546083765689917,0.5888275010954711,0.6910533209251587,0.8404379899039337,0.21419708120548978,0.7828477716315047,0.22202309891053118,0.7459672103145538,0.5478410417136251,0.4472956328534732,0.15271088218244974,0.5128317022163444,0.5005842665159718,0.293970419081514,0.2521546630229496,0.2229530248459526,0.49445089908212153,0.4284769859654572,0.7064678483237615,0.41243687328558143,0.3784603315615012,0.847403768350926,0.8223196362751034,0.21618288199918373,0.4999732349202865,0.20854331881977808,0.9568630751721698,0.2700221174158821,0.4079628568285846,0.48712488087509226,0.18816942103255818,0.6676110745194921,0.19430442241072743
53,0.6095470817036034,0.3541155449541867,0.617361711837988,0.7644695801182975,0.8626543879802955,0.34321821556316945,0.461900826427347,0.5091514900127041,0.218840188408173,0.1485715360053134,0.4981702703069577,0.7016167978228539,0.8358321781376286,0.23921719966258623,0.791554016424691,0.22238231983879497,0.7459672103715563,0.4802895890654974,0.4472956327608105,0.1929350959632628,0.3858000197759654,0.43001823526466254,0.29228447210151726,0.2217969151191915,0.2188664508831243,0.4322872061987618,0.42720738739534914,0.6746823362708078,0.39162096534327967,0.3784603313549022,0.8474037689461652,0.8379729645503342,0.30920584967542036,0.5000150823468952,0.1831302935808429,0.9029786737475813,0.27002211701323764,0.47845490470532137,0.28217734915432935,0.22628693884100545,0.6829045040272964,0.15271820501821645
54,0.6096118897105581,0.22734587433918954,0.6173617118652556,0.762414686049756,0.8539202743350375,0.4151908033305183,0.3972797937059232,0.535772570004961,0.21884018823002177,0.14635216394580292,0.45163709890386594,0.7050940678435009,0.8314045575876141,0.23042661969510606,0.8423606960560246,0.22247379479409668,0.7459672104237869,0.5666007557289537,0.6044173162476182,0.1668986291782544,0.2382258801748728,0.38708071035337116,0.29152336071199364,0.222985562744771,0.23606690431497881,0.46146713113605203,0.5130992496780319,0.6581815584813887,0.4310714538883074,0.4406694149604946,0.8474037691823377,0.8379729644823927,0.30845548509127935,0.5029784527869605,0.1800482802877358,0.9783772402737252,0.4365769190845023,0.40125438249690454,0.4587822213863664,0.23428554430368578,0.663298806711998,0.17029267954652852
