NormalizedDate,2024_French Senate election_FRFNN,2023_Spanish general election_IBEXIB,2023_Dutch general election_NLFIN,2023_Polish parliamentary election_BNKI,2023_Greek legislative election_FTATBNK,2023_Finnish parliamentary election_N3020PI,2023_Italian local elections_FTITLMS30,2023_Spanish local elections_IBEXIB,2023_Spanish regional elections_IBEXIB,2022_United States elections_NYK,2022_French presidential election_FRFNN,2022_French legislative election_FRFNN,2022_Swedish general election_SX3010GI,2022_Italian general election_FTITLMS30,2021_German federal election_CXPVX,2021_Norwegian parliamentary election_OFING,2021_Dutch general election_NLFIN,2020_United States presidential election_NYK,2020_United States Senate elections_NYK,2020_United States House of Representatives elections_NYK,2019_Spanish general election_IBEXIB_x,2019_Spanish general election_IBEXIB_y,2019_Portuguese legislative election_PTFIN,2019_Greek legislative election_FTATBNK,2019_Belgian federal election_BEFIN,2019_Danish general election_OMXC20,2019_Finnish parliamentary election_N3020PI,2019_Spanish general election_IBEXIB,2018_Swedish general election_SX3010GI,2018_Italian general election_FTITLMS30,2017_German federal election_CXPVX,2017_French presidential election_FRFNN,2017_French legislative election_FRFNN,2017_United Kingdom general election_TRINMX302020,2017_Dutch general election_NLFIN,2016_United States presidential election_NYK,2016_United States Senate elections_NYK,2016_United States House of Representatives elections_NYK,2016_Spanish general election_IBEXIB,2016_United Kingdom Brexit_TRINMX302020,2015_Portuguese legislative election_PTFIN,2015_Spanish general election_IBEXIB,2015_United Kingdom general election_TRINMX302020,2014_Swedish general election_SX3010GI,2014_Belgian federal election_BEFIN,2013_German federal election_CXPVX,2013_Italian general election_FTITLMS30,2013_Norwegian parliamentary election_OFING
7,946.03,638.6,585.64,8808.83,1001.72,3092.79,15443.6,573.2,573.2,8864.4,828.09,743.83,2711.17,10658.2,2742.57,2531.01,541.59,7722.9,7722.9,7722.9,573.3,491.9,55.48,736.49,826.94,1023.8,2107.01,573.3,2408.46,14490.45,1817.39,936.34,952.06,4926.24,667.16,6687.6,6687.6,6687.6,516.2,3697.21,93.94,724.4,4259.27,1798.16,591.25,851.32,10571.51,878.04
8,946.03,634.2,598.54,8880.3,996.12,3092.79,15443.6,569.3,569.3,8801.5,828.09,751.34,2667.8,10804.4,2723.85,2542.12,541.19,7701.7,7701.7,7701.7,565.9,489.6,54.8,732.78,822.73,1020.05,2107.01,565.9,2398.89,14507.5,1824.31,936.34,960.62,4984.07,672.2,6627.0,6627.0,6627.0,514.5,3749.22,87.29,712.5,4290.68,1814.85,593.13,854.14,10354.09,872.79
9,946.03,621.0,599.5,9097.86,976.53,3136.07,15443.6,571.9,571.9,8767.6,824.85,759.51,2724.06,11167.4,2714.96,2588.15,544.42,7571.8,7571.8,7571.8,554.2,492.2,55.83,741.06,836.85,1011.02,2090.38,554.2,2369.28,14471.54,1824.31,945.83,956.61,4984.07,667.1,6668.1,6668.1,6668.1,500.1,3749.22,85.03,715.6,4290.68,1815.15,590.59,867.86,10690.45,868.14
10,946.03,609.7,599.5,9336.09,958.27,3140.61,15328.8,573.0,573.0,8822.9,842.22,754.06,2789.79,10924.0,2681.51,2626.11,544.42,7713.8,7713.8,7713.8,558.1,489.6,56.93,754.11,836.06,1011.02,2098.11,558.1,2361.63,14286.25,1830.49,952.46,952.38,4984.07,667.1,6659.2,6659.2,6659.2,486.9,3749.22,85.98,713.2,4290.68,1827.72,592.8,863.8,10658.0,866.28
11,946.03,618.5,599.5,9441.69,952.81,3147.68,15073.9,578.2,578.2,8822.9,849.53,731.66,2771.15,10698.1,2718.37,2639.23,544.42,7713.8,7713.8,7713.8,545.7,493.9,56.48,763.75,830.85,1011.02,2104.9,545.7,2404.28,14501.12,1836.2,961.37,951.8,5017.87,667.1,6659.2,6659.2,6659.2,490.0,3655.14,88.0,705.5,4295.13,1809.58,599.15,858.1,10635.69,879.47
12,946.03,622.1,601.18,9317.49,963.09,3186.81,14884.0,572.6,572.6,8822.9,839.58,750.35,2710.38,10639.5,2709.94,2639.23,543.39,7713.8,7713.8,7713.8,543.8,499.0,55.44,769.56,832.31,1012.64,2136.81,543.8,2431.82,14657.94,1826.31,968.86,950.07,5013.64,661.46,6659.2,6659.2,6659.2,510.1,3528.69,87.03,705.5,4339.99,1821.16,607.23,856.29,10876.57,883.12
13,946.03,622.1,605.5,9317.49,963.09,3186.81,15127.6,572.6,572.6,8819.2,839.58,750.35,2710.38,10639.5,2709.94,2639.23,557.34,7877.3,7877.3,7877.3,543.8,499.0,55.44,769.56,832.31,1024.79,2136.81,543.8,2431.82,14657.94,1826.31,968.86,950.07,4915.9,665.46,6691.9,6691.9,6691.9,510.1,3492.8,87.03,705.5,4339.16,1821.16,607.23,856.29,10876.57,883.12
14,946.03,622.1,611.83,9317.49,963.09,3186.81,14760.9,572.6,572.6,8914.5,839.58,750.35,2710.38,10639.5,2709.94,2673.63,553.84,7879.4,7879.4,7879.4,543.8,499.0,55.44,769.56,832.31,1025.97,2136.81,543.8,2431.82,14657.94,1826.31,968.86,950.07,4916.76,666.97,6718.9,6718.9,6718.9,510.1,3617.18,87.03,705.5,4359.09,1821.16,607.23,856.29,10876.57,883.12
15,946.03,626.2,614.26,9515.05,963.09,3124.05,14760.9,573.0,573.0,8950.3,822.73,746.37,2661.33,10729.0,2719.48,2677.79,556.67,7799.4,7799.4,7799.4,536.3,500.7,57.51,751.86,841.65,1020.58,2131.98,536.3,2424.51,14550.65,1828.77,961.27,953.65,4943.44,668.78,6731.6,6731.6,6731.6,515.4,3709.66,86.51,690.3,4376.0,1806.1,607.95,850.16,10734.42,874.44
16,946.03,612.5,619.9,9592.59,1000.06,3134.92,14760.9,572.3,572.3,8950.3,818.23,750.24,2686.94,10654.6,2726.92,2678.41,556.67,7817.5,7817.5,7817.5,541.4,498.0,56.49,749.94,845.1,1006.98,2129.68,541.4,2435.37,14631.35,1832.31,959.33,959.08,4943.44,673.37,6731.6,6731.6,6731.6,543.4,3709.66,87.65,687.5,4376.0,1828.04,603.29,847.5,10667.55,871.85
17,946.03,617.8,619.9,9592.59,1020.13,3123.37,14760.9,585.9,585.9,9005.9,808.89,738.35,2644.71,10515.8,2732.17,2703.01,556.67,7756.6,7756.6,7756.6,542.1,501.5,57.46,757.19,840.58,1006.98,2129.68,542.1,2448.4,14539.99,1846.27,959.98,967.73,4943.44,673.37,6741.6,6741.6,6741.6,539.1,3709.66,85.28,668.9,4376.0,1810.98,598.68,845.81,10433.17,866.8
18,946.03,634.1,619.9,9602.93,1017.07,3094.73,14455.3,581.4,581.4,9005.9,808.62,718.75,2587.32,10746.2,2745.34,2706.71,556.67,7756.6,7756.6,7756.6,553.7,497.2,57.95,775.24,836.89,1006.98,2109.89,553.7,2467.99,14304.87,1867.51,955.15,962.51,4942.45,673.37,6741.6,6741.6,6741.6,550.4,3833.27,84.25,656.2,4376.0,1774.96,597.51,855.23,10796.12,860.34
19,946.03,631.2,622.77,9660.09,1019.39,3118.4,14742.0,587.1,587.1,9005.9,810.92,717.62,2633.49,10826.5,2767.35,2706.71,556.67,7756.6,7756.6,7756.6,549.9,494.1,57.82,782.71,831.73,1008.19,2123.17,549.9,2453.62,14238.88,1861.7,958.8,952.05,4904.53,668.09,6741.6,6741.6,6741.6,548.7,3899.2,84.39,640.8,4333.8,1802.13,594.66,859.26,10741.73,855.7
20,946.03,631.2,623.32,9660.09,1019.39,3118.4,14555.1,587.1,587.1,8831.8,810.92,717.62,2633.49,10826.5,2767.35,2706.71,561.05,7873.1,7873.1,7873.1,549.9,494.1,57.82,782.71,831.73,1012.32,2123.17,549.9,2453.62,14238.88,1861.7,958.8,952.05,4911.41,667.26,6671.1,6671.1,6671.1,548.7,3863.29,84.39,640.8,4364.66,1802.13,594.66,859.26,10741.73,855.7
21,946.03,631.2,622.86,9660.09,1019.39,3118.4,15043.2,587.1,587.1,8900.8,810.92,717.62,2633.49,10826.5,2767.35,2724.14,561.71,8099.8,8099.8,8099.8,549.9,494.1,57.82,782.71,831.73,1005.3,2123.17,549.9,2453.62,14238.88,1861.7,958.8,952.05,4866.56,667.49,6703.5,6703.5,6703.5,548.7,3910.8,84.39,640.8,4373.03,1802.13,594.66,859.26,10741.73,855.7
22,946.03,632.1,626.77,9707.22,1024.51,3170.42,15043.2,586.7,586.7,9083.6,799.35,717.16,2618.61,11010.3,2780.86,2742.74,559.75,8060.0,8060.0,8060.0,542.5,487.4,57.71,806.51,831.42,996.97,2079.31,542.5,2466.45,14031.85,1871.68,965.19,969.62,4885.53,671.3,6729.9,6729.9,6729.9,543.7,3897.81,81.5,643.2,4341.06,1810.1,590.28,860.43,10490.37,842.25
23,946.03,626.5,628.67,9649.19,1024.44,3186.53,15043.2,581.9,581.9,9037.5,816.85,689.25,2703.44,11185.1,2805.34,2745.83,560.15,8060.0,8060.0,8060.0,545.3,483.8,57.81,807.15,838.21,1002.51,2059.78,545.3,2430.47,14109.97,1867.67,965.5,968.02,4885.53,670.81,6772.5,6772.5,6772.5,538.8,3897.81,79.34,646.3,4341.06,1766.86,592.97,864.29,10163.35,854.46
